,Unnamed: 0,id,release_date,movie,production_budget,domestic_gross,worldwide_gross,return_on_investment,year,movie_id,primary_title,original_title,runtime_minutes,genres,averagerating,numvotes
827,4245,46,2011-04-22,Dum Maaro Dum,5200000,564489,11633427,2.2371974999999997,2011,tt1618430,Dum Maaro Dum,Dum Maaro Dum,128.0,"Action,Crime,Drama",6.2,3616
828,4248,49,2017-02-24,Get Out,5000000,176040665,255367951,51.0735902,2017,tt5052448,Get Out,Get Out,104.0,"Horror,Mystery,Thriller",7.7,400474
829,4249,50,2017-01-20,Split,5000000,138141585,278964806,55.79296120000001,2017,tt2660118,Split,Split,90.0,"Comedy,Romance,Sport",2.9,557
830,4250,51,2011-10-21,Paranormal Activity 3,5000000,104028807,207039844,41.4079688,2011,tt1778304,Paranormal Activity 3,Paranormal Activity 3,83.0,"Horror,Mystery,Thriller",5.8,85689
831,4253,54,2016-03-11,10 Cloverfield Lane,5000000,72082999,108286422,21.657284399999998,2016,tt1179933,10 Cloverfield Lane,10 Cloverfield Lane,103.0,"Drama,Horror,Mystery",7.2,260383
832,4254,55,2016-07-22,Lights Out,5000000,67268835,148806510,29.761302,2016,tt1085448,Lights Out,Lights Out,,Drama,6.6,10
833,4255,56,2015-09-11,The Visit,5000000,65206105,98677816,19.735563199999998,2015,tt1605776,The Visit,The Visit,90.0,"Comedy,Drama,Romance",8.3,7
834,4257,58,2017-10-13,Happy Death Day,5000000,55683845,125010260,25.002052,2017,tt5308322,Happy Death Day,Happy Death Day,96.0,"Horror,Mystery,Thriller",6.5,87132
835,4258,59,2012-10-19,Paranormal Activity 4,5000000,53900335,142817992,28.5635984,2012,tt2109184,Paranormal Activity 4,Paranormal Activity 4,88.0,"Horror,Mystery,Thriller",4.6,58408
836,4259,60,2014-10-24,Ouija,5000000,50856010,103300632,20.6601264,2014,tt1204977,Ouija,Ouija,89.0,"Horror,Mystery,Thriller",4.5,44054
837,4262,63,2015-08-07,The Gift,5000000,43787265,58978477,11.7956954,2015,tt1494821,The Gift,The Gift,,Drama,7.8,12
