,id,release_date,movie,production_budget,domestic_gross,worldwide_gross,return_on_investment,year,movie_id,primary_title,original_title,runtime_minutes,genres,averagerating,numvotes,runtime,Horror,month
910,3,2015-07-24,The Vatican Tapes,13000000,1784763,14929184,1.1483987692307693,2015,tt1524575,The Vatican Tapes,The Vatican Tapes,91.0,"Horror,Thriller",5.0,14822,under,True,7
914,14,2013-03-15,The Call,12800000,51872378,69821476,5.4548028125,2013,tt1911644,The Call,The Call,94.0,"Crime,Drama,Horror",6.7,103780,sweet spot,True,3
935,97,2017-07-14,Wish Upon,12000000,14301505,23477345,1.9564454166666667,2017,tt5322012,Wish Upon,Wish Upon,90.0,"Drama,Fantasy,Horror",5.0,14962,under,True,7
961,25,2013-12-06,The Last Days on Mars,10600000,24084,261364,0.02465698113207547,2013,tt1709143,The Last Days on Mars,The Last Days on Mars,98.0,"Adventure,Horror,Sci-Fi",5.5,33137,sweet spot,True,12
962,36,2018-10-19,Halloween,10000000,159342015,254900667,25.4900667,2018,tt1502407,Halloween,Halloween,106.0,"Horror,Thriller",6.6,88395,sweet spot,True,10
963,42,2016-07-01,The Purge: Election Year,10000000,79042440,118514727,11.8514727,2016,tt4094724,The Purge: Election Year,The Purge: Election Year,108.0,"Action,Horror,Sci-Fi",6.0,80254,sweet spot,True,7
965,45,2018-01-05,Insidious: The Last Key,10000000,67745330,167885588,16.7885588,2018,tt5726086,Insidious: The Last Key,Insidious: The Last Key,103.0,"Horror,Mystery,Thriller",5.7,42154,sweet spot,True,1
968,56,2018-06-08,Hereditary,10000000,44069456,70133905,7.0133905,2018,tt7784604,Hereditary,Hereditary,127.0,"Drama,Horror,Mystery",7.3,151571,over,True,6
969,61,2017-10-27,Jigsaw,10000000,38052832,102445196,10.2445196,2017,tt3348730,Jigsaw,Jigsaw,92.0,"Crime,Horror,Mystery",5.8,57184,under,True,10
970,68,2016-01-22,The Boy,10000000,35819556,68220952,6.8220952,2016,tt2443822,The Boy,The Boy,105.0,"Drama,Horror,Thriller",5.4,4251,sweet spot,True,1
973,80,2018-08-10,Slender Man,10000000,30564825,51723644,5.1723644,2018,tt5690360,Slender Man,Slender Man,93.0,"Horror,Mystery,Thriller",3.2,19650,under,True,8
974,85,2016-09-09,When the Bough Breaks,10000000,29747603,30768449,3.0768449,2016,tt1389139,When the Bough Breaks,When the Bough Breaks,107.0,"Crime,Drama,Horror",5.1,4729,sweet spot,True,9
