,id,release_date,movie,production_budget,domestic_gross,worldwide_gross,return_on_investment,year
1758,59,2017-06-28,Baby Driver,34000000,107825862,228104185,6.708946617647059,2017
1759,60,2014-09-19,The Maze Runner,34000000,102427862,348319861,10.244701794117647,2014
1772,73,2016-07-08,Mike and Dave Need Wedding Dates,33000000,46009673,75898100,2.2999424242424245,2016
1773,74,2012-07-27,Step Up Revolution,33000000,35074677,165552290,5.0167360606060605,2012
1784,85,2011-05-13,Bridesmaids,32500000,169211718,289632023,8.911754553846153,2011
1790,91,2013-06-12,This is the End,32000000,101470202,126539117,3.95434740625,2013
1795,96,2011-04-01,Source Code,32000000,54712227,140428499,4.38839059375,2011
1798,99,2018-04-20,I Feel Pretty,32000000,48795601,91553797,2.86105615625,2018
1800,1,2011-02-18,Big Mommas: Like Father Like Son,32000000,37915414,82332450,2.5728890625,2011
1821,22,2013-04-12,42,31000000,95020213,97470701,3.1442161612903226,2013
1822,23,2012-11-02,Flight,31000000,93772375,160558438,5.179304451612904,2012
1826,27,2014-03-07,The Grand Budapest Hotel,31000000,59076019,163981261,5.289718096774194,2014
1827,28,2015-07-29,Vacation,31000000,58884188,102306500,3.300209677419355,2015
1837,38,2018-08-15,Crazy Rich Asians,30000000,174532921,238099711,7.936657033333334,2018
1841,42,2012-02-10,The Vow,30000000,125014030,197618160,6.587272,2012
1844,45,2013-08-16,Lee Daniels' The Butler,30000000,116632095,177025498,5.900849933333333,2013
1856,57,2015-12-18,Sisters,30000000,87044645,106030660,3.5343553333333335,2015
1864,65,2017-08-18,The Hitmanâs Bodyguard,30000000,75468583,172778667,5.7592889,2017
1868,69,2012-09-28,Looper,30000000,66486205,170466405,5.6822135,2012
1869,70,2013-02-01,Warm Bodies,30000000,66380662,115121608,3.8373869333333332,2013
1871,72,2014-01-17,The Nut Job,30000000,64251538,122529966,4.0843322,2014
1874,75,2012-08-08,Hope Springs,30000000,63536011,133085295,4.4361765,2012
1882,83,2011-05-20,Midnight in Paris,30000000,56816662,162502774,5.416759133333334,2011
1883,84,2017-11-22,Darkest Hour,30000000,56443120,150807172,5.026905733333333,2017
1887,88,2018-05-11,Life of the Party,30000000,53059911,65759911,2.191997033333333,2018
1891,92,2015-07-24,Southpaw,30000000,52421953,94156456,3.138548533333333,2015
1893,94,2017-07-28,Atomic Blonde,30000000,51573925,98345423,3.2781807666666665,2017
1899,100,2015-09-18,Sicario,30000000,46889293,84393749,2.8131249666666664,2015
1902,3,2018-01-19,Den of Thieves,30000000,44947622,80131391,2.671046366666667,2018
1905,6,2014-10-24,John Wick,30000000,43037835,76235001,2.5411667,2014
1907,8,2015-04-24,The Age of Adaline,30000000,42629776,68984536,2.299484533333333,2015
